prodcode,productname,ingredient,bnftext,routeofadministration,dmdcode,therapyevents,bnfchapter,emo,top_cs,tcal,oral_cs,aza,metho,cic,myco,potency,injection,new202007
8111,becloforte vm 250microgram/actuation vm pack (allen & hanburys ltd),beclometasone dipropionate,corticosteroids (for respiratory conditions),,2.585E+15,9859,3020000,,1,,,,,,,potent,,
41386,betamethasone 0.1% ointment in emollient cream 50:50,betamethasone valerate,emollient skin preparations/potent topical corticosteroids,topical,2.39E+17,97,13020102/13040400,1,1,,,,,,,potent,,
76870,salicylic acid 15% in clobetasol 0.05% ointment,clobetasol propionate/salicylic acid,extemporaneous item,route of administration not applicable,1.61E+16,1,50030000,,1,,,,,,,,,
35175,hydrocortisone sodium phosphate 100mg/1ml solution for injection ampoules,,glucocorticoid therapy,,3.61E+16,6424,6030200,,1,,,,,,,,,
71905,hydrocortisone sodium phosphate 100mg/1ml solution for injection ampoules (advanz pharma),,glucocorticoid therapy,,3.04E+16,1,6030200,,1,,,,,,,,,
15717,betamethasone 4mg/1ml solution for injection ampoules,,glucocorticoid therapy/local corticosteroid injections,,3.59E+16,185,06030200/10010202,,1,,,,,,,potent,,
4488,triamcinolone acetonide 40mg/ml ia/im,triamcinolone acetonide,glucocorticoid therapy/local corticosteroid injections,,1.45E+17,8452,06030200/10010202,,1,,,,,,,,,1
4125,triamcinolone acetonide 80mg/2ml intramuscular injection,triamcinolone acetonide,glucocorticoid therapy/local corticosteroid injections,,1.45E+17,1663,06030200/10010202,,1,,,,,,,,,
8986,efcortelan 2.5% ointment (chemidex pharma ltd),hydrocortisone,mild topical corticosteroids,cutaneous,2.93251E+15,6042,13040200,,1,,,,,,,mild,,
27686,lanacort 1% cream (reckitt benckiser healthcare (uk) ltd),hydrocortisone acetate,mild topical corticosteroids,cutaneous,4.92801E+15,4,13040200,,1,,,,,,,mild,,
4214,efcortelan 0.5% ointment (chemidex pharma ltd),hydrocortisone,mild topical corticosteroids,cutaneous,2.92841E+15,5315,13040200,,1,,,,,,,mild,,
34454,hydrocortisone 0.50% cream (teva uk ltd),hydrocortisone,mild topical corticosteroids,cutaneous,7.515E+15,271,13040200,,1,,,,,,,mild,,
33655,hydrocortisone 0.5% ointment (actavis uk ltd),hydrocortisone,mild topical corticosteroids,cutaneous,3.30471E+15,59,13040200,,1,,,,,,,mild,,
22684,hydrocortisone with calamine cream,calamine/hydrocortisone,mild topical corticosteroids,topical,1.18E+17,16,13040200,,1,,,,,,,mild,,
34326,hydrocortisone 0.50% ointment (teva uk ltd),hydrocortisone,mild topical corticosteroids,cutaneous,5.17E+16,33,13040200,,1,,,,,,,mild,,
73470,hydrocortisone 0.50% cream (ivax pharmaceuticals uk ltd),hydrocortisone,mild topical corticosteroids,cutaneous,4.32E+16,3,13040200,,1,,,,,,,mild,,
19187,hydrocortisone 1% ointment (teva uk ltd),hydrocortisone,mild topical corticosteroids,cutaneous,5.17E+16,187,13040200,,1,,,,,,,mild,,
14555,hydrocortisone with dimeticone 1% with 20% cream,hydrocortisone,mild topical corticosteroids,topical,1.17E+17,421,13040200,,1,,,,,,,mild,,
3166,efcortelan 0.5% cream (chemidex pharma ltd),hydrocortisone,mild topical corticosteroids,cutaneous,1.51811E+14,34867,13040200,,1,,,,,,,mild,,
34111,hydrocortisone 0.1% emulsion,methyl hydroxybenzoate/propyl hydroxybenzoate/hydrocortisone,mild topical corticosteroids,topical,1.17E+17,12,13040200,,1,,,,,,,mild,,
2745,efcortelan 1% cream (glaxo laboratories ltd),methyl hydroxybenzoate/propyl hydroxybenzoate/hydrocortisone,mild topical corticosteroids,topical,5.20E+16,776,13040200,,1,,,,,,,mild,,
3567,hydrocortistab 1% cream (waymade healthcare plc),hydrocortisone,mild topical corticosteroids,cutaneous,4.76E+16,1795,13040200,,1,,,,,,,mild,,
2190,hydrocortisone 0.125% cream,hydrocortisone,mild topical corticosteroids,topical,2.12E+17,226,13040200,,1,,,,,,,mild,,
10751,hydrocortistab 1% ointment (waymade healthcare plc),hydrocortisone,mild topical corticosteroids,cutaneous,6.98E+16,729,13040200,,1,,,,,,,mild,,
41406,hydrocortisone 2.50% cream (martindale pharmaceuticals ltd),hydrocortisone,mild topical corticosteroids,cutaneous,3.87E+16,2,13040200,,1,,,,,,,mild,,
47809,hydrocortisone 1% ointment (thornton & ross ltd),hydrocortisone,mild topical corticosteroids,cutaneous,2.71E+16,13,13040200,,1,,,,,,,mild,,
39737,hydrocortisone 0.50% ointment (c p pharmaceuticals ltd),hydrocortisone,mild topical corticosteroids,cutaneous,4.70E+16,2,13040200,,1,,,,,,,mild,,
32096,hydrocortisone 1% ointment (actavis uk ltd),hydrocortisone,mild topical corticosteroids,cutaneous,3.30581E+15,878,13040200,,1,,,,,,,mild,,
4373,cobadex 1% cream (actavis uk ltd),hydrocortisone,mild topical corticosteroids,topical,6.58E+16,2951,13040200,,1,,,,,,,mild,,
3561,efcortelan 1% cream (chemidex pharma ltd),hydrocortisone,mild topical corticosteroids,cutaneous,5.75811E+14,88744,13040200,,1,,,,,,,mild,,
75006,hydrocortisone 1% ointment (c p pharmaceuticals ltd),hydrocortisone,mild topical corticosteroids,cutaneous,3.86E+16,96,13040200,,1,,,,,,,mild,,
34906,hydrocortisone 1% ointment (celltech pharma europe ltd),hydrocortisone,mild topical corticosteroids,cutaneous,1.39E+16,44,13040200,,1,,,,,,,mild,,
7892,hydrocortisone 1% cream,hydrocortisone,mild topical corticosteroids,topical,1.60E+17,5526,13040200,,1,,,,,,,mild,,
75189,hydrocortisone 1% cream (thornton & ross ltd),hydrocortisone,mild topical corticosteroids,cutaneous,2.71E+16,17,13040200,,1,,,,,,,mild,,
45725,hydromol hc intensive cream (alliance pharmaceuticals ltd),urea/hydrocortisone,mild topical corticosteroids,cutaneous,1.85E+16,861,13040200,1,1,,,,,,,mild,,
10518,hydrocortisone with dimeticone 0.5% with 20% cream,hydrocortisone,mild topical corticosteroids,topical,1.17E+17,127,13040200,,1,,,,,,,mild,,
3859,hydrocortisyl 1%w/w cream (hoechst marion roussel),hydrocortisone,mild topical corticosteroids,cutaneous,7.50E+16,2054,13040200,,1,,,,,,,mild,,
8764,hydrocortisyl 1%w/w ointment (hoechst marion roussel),hydrocortisone,mild topical corticosteroids,cutaneous,7.50E+16,795,13040200,,1,,,,,,,mild,,
32377,lexon hydrocortisone 1% cream (lexon (uk) ltd),hydrocortisone,mild topical corticosteroids,cutaneous,2.07E+17,3,13040200,,1,,,,,,,mild,,
33649,hydrocortisone 1% cream (teva uk ltd),hydrocortisone,mild topical corticosteroids,cutaneous,7.525E+15,1129,13040200,,1,,,,,,,mild,,
28589,hydrocortisone acetate 1% ointment,hydrocortisone acetate,mild topical corticosteroids,cutaneous,331700003,2109,13040200,,1,,,,,,,mild,,
3529,hydrocal 1% cream (bioglan laboratories ltd),calamine/hydrocortisone,mild topical corticosteroids,topical,4.29E+16,1725,13040200,,1,,,,,,,mild,,
2004,hydrocortisone 1% lotion,methyl hydroxybenzoate/propyl hydroxybenzoate/hydrocortisone,mild topical corticosteroids,topical,1.17E+17,1335,13040200,,1,,,,,,,mild,,
68504,hydrocortisone 1% cream (ivax pharmaceuticals uk ltd),hydrocortisone,mild topical corticosteroids,cutaneous,4.32E+16,307,13040200,,1,,,,,,,mild,,
8479,efcortelan 1% ointment (chemidex pharma ltd),hydrocortisone,mild topical corticosteroids,cutaneous,2.93121E+15,27942,13040200,,1,,,,,,,mild,,
40077,exe-cort hydrocortisone 1% cream (nucare plc),hydrocortisone,mild topical corticosteroids,cutaneous,5.43751E+15,6,13040200,,1,,,,,,,mild,,
34900,hydrocortisone 1% cream (celltech pharma europe ltd),hydrocortisone,mild topical corticosteroids,cutaneous,1.38E+16,23,13040200,,1,,,,,,,mild,,
8727,eczederm with hydrocortisone cream (quinoderm ltd),calamine/hydrocortisone,mild topical corticosteroids,topical,1.17E+17,176,13040200,,1,,,,,,,mild,,
10517,cobadex 0.50% cream (actavis uk ltd),hydrocortisone,mild topical corticosteroids,topical,6.58E+16,1391,13040200,,1,,,,,,,mild,,
8313,efcortelan 2.5% cream (glaxosmithkline uk ltd),hydrocortisone,mild topical corticosteroids,cutaneous,4.39211E+14,8223,13040200,,1,,,,,,,mild,,
20460,hydrocortisone with sodium fusidate 1%with2% ointment,hydrocortisone acetate/sodium fusidate,mild topical corticosteroids/antibacterial preparations also used systemically (for skin conditions),topical,2.02E+17,284,13040200/13100102,,1,,,,,,,mild,,
3655,gentamicin with hydrocortisone ointment,gentamicin sulphate/hydrocortisone acetate,mild topical corticosteroids/antibacterial preparations also used systemically (for skin conditions),topical,1.91E+17,321,13040200/13100102,,1,,,,,,,mild,,
12801,fusidic acid with hydrocortisone 2%with1% gel,hydrocortisone acetate/fusidic acid,mild topical corticosteroids/antibacterial preparations also used systemically (for skin conditions),topical,1.08E+17,588,13040200/13100102,,1,,,,,,,mild,,
12904,oxytetracycline with hydrocortisone & nystatin cream,hydrocortisone/nystatin/oxytetracycline hydrochloride,mild topical corticosteroids/antibacterial preparations also used systemically (for skin conditions),topical,1.32E+17,342,13040200/13100102,,1,,,,,,,mild,,
30604,hydrocortisone with nystatin and oxytetracycline cream,hydrocortisone/nystatin/oxytetracycline hydrochloride,mild topical corticosteroids/antibacterial preparations also used systemically (for skin conditions),topical,1.17E+17,19,13040200/13100102,,1,,,,,,,mild,,
42501,hydrocortisone with fusidic acid ointment,hydrocortisone acetate/fusidic acid,mild topical corticosteroids/antibacterial preparations also used systemically (for skin conditions),topical,1.17E+17,18,13040200/13100102,,1,,,,,,,mild,,
77487,fusidic acid with hydrocortisone ointment,hydrocortisone acetate/fusidic acid,mild topical corticosteroids/antibacterial preparations also used systemically (for skin conditions),,1.08E+17,0,13040200/13100102,,1,,,,,,,mild,,
38074,chlortetracycline with hydrocortisone cream,chlortetracycline hydrochloride/hydrocortisone,mild topical corticosteroids/antibacterial preparations also used systemically (for skin conditions),topical,1.02E+17,1,13040200/13100102,,1,,,,,,,mild,,
3300,genticin with hydrocortisone cream (nicholas laboratories ltd),gentamicin sulphate/hydrocortisone acetate,mild topical corticosteroids/antibacterial preparations also used systemically (for skin conditions),topical,1.30E+16,3011,13040200/13100102,,1,,,,,,,mild,,
12611,hydrocortisone with fusidic acid 1% with 2% gel,hydrocortisone acetate/fusidic acid,mild topical corticosteroids/antibacterial preparations also used systemically (for skin conditions),topical,1.17E+17,2054,13040200/13100102,,1,,,,,,,mild,,
1944,fucidin h gel (leo pharma),hydrocortisone acetate/fusidic acid,mild topical corticosteroids/antibacterial preparations also used systemically (for skin conditions),topical,3.80E+16,9200,13040200/13100102,,1,,,,,,,mild,,
3103,genticin with hydrocortisone ointment (nicholas laboratories ltd),gentamicin sulphate/hydrocortisone acetate,mild topical corticosteroids/antibacterial preparations also used systemically (for skin conditions),topical,1.30E+16,1024,13040200/13100102,,1,,,,,,,mild,,
76492,hydrocortisone with gentamicin ointment,gentamicin sulphate/hydrocortisone acetate,mild topical corticosteroids/antibacterial preparations also used systemically (for skin conditions),,1.17E+17,3,13040200/13100102,,1,,,,,,,mild,,
22341,hydrocortisone with oxytetracycline ointment,hydrocortisone/oxytetracycline hydrochloride,mild topical corticosteroids/antibacterial preparations also used systemically (for skin conditions),topical,1.17E+17,26,13040200/13100102,,1,,,,,,,mild,,
5244,fusidic acid with hydrocortisone 2%with1% cream,hydrocortisone acetate/fusidic acid,mild topical corticosteroids/antibacterial preparations also used systemically (for skin conditions),topical,1.08E+17,269344,13040200/13100102,,1,,,,,,,mild,,
12459,tricicatrin ointment (wellcome medical division),neomycin sulphate/bacitracin zinc/hydrocortisone,mild topical corticosteroids/antibacterial preparations only used topically,topical,1.59E+17,1780,13040200/13100101,,1,,,,,,,mild,,
12457,barquinol hc cream (rpr / fisons),clioquinol/hydrocortisone,mild topical corticosteroids/antibacterial preparations only used topically,cutaneous,2.465E+15,64,13040200/13100101,,1,,,,,,,mild,,
2705,clioquinol 3% with hydrocortisone 1% cream,clioquinol/hydrocortisone,mild topical corticosteroids/antibacterial preparations only used topically,topical,1.03E+17,2058,13040200/13100101,,1,,,,,,,mild,,
10163,hydrocortisone with neomycin 1%+0.5% ointment,neomycin sulphate/hydrocortisone,mild topical corticosteroids/antibacterial preparations only used topically,topical,2.34E+17,71,13040200/13100101,,1,,,,,,,mild,,
17768,hydroderm ointment (msd thomas morson pharmaceuticals),neomycin sulphate/bacitracin zinc/hydrocortisone,mild topical corticosteroids/antibacterial preparations only used topically,topical,7.83E+16,225,13040200/13100101,,1,,,,,,,mild,,
2301,clioquinol 3% with hydrocortisone 1% ointment,clioquinol/hydrocortisone,mild topical corticosteroids/antibacterial preparations only used topically,topical,1.03E+17,1334,13040200/13100101,,1,,,,,,,mild,,
22860,methylprednisolone with neomycin cream,neomycin/methylprednisolone,mild topical corticosteroids/antibacterial preparations only used topically,topical,1.91E+17,6,13040200/13100101,,1,,,,,,,mild,,
2763,hydrocortisone with neomycin 1%+0.5% cream,neomycin sulphate/hydrocortisone,mild topical corticosteroids/antibacterial preparations only used topically,topical,1.17E+17,295,13040200/13100101,,1,,,,,,,mild,,
10451,framycort ointment (rpr / fisons),framycetin sulphate/hydrocortisone acetate,mild topical corticosteroids/antibacterial preparations only used topically,topical,1.19E+16,332,13040200/13100101,,1,,,,,,,mild,,
55922,neomycin sulphate with nystatin bacitracin and hydrocortisone ointment,neomycin sulphate/bacitracin zinc/hydrocortisone,mild topical corticosteroids/antibacterial preparations only used topically,,1.59E+17,0,13040200/13100101,,1,,,,,,,mild,,
3725,neo-medrone cream (pharmacia ltd),neomycin/methylprednisolone,mild topical corticosteroids/antibacterial preparations only used topically,topical,8.45E+16,1819,13040200/13100101,,1,,,,,,,mild,,
15590,hydrocortisone with neomycin nystatin and polymyxin ointment,neomycin sulphate/hydrocortisone/nystatin/polymyxin b sulphate,mild topical corticosteroids/antibacterial preparations only used topically,topical,1.17E+17,92,13040200/13100101,,1,,,,,,,mild,,
8618,quinocort cream (quinoderm ltd),potassium hydroxyquinoline sulfate/hydrocortisone,mild topical corticosteroids/antibacterial preparations only used topically,cutaneous,1.17E+17,3115,13040200/13100101,,1,,,,,,,mild,,
38411,nystatin with hydrocortisone and neomycin ointment,neomycin sulphate/hydrocortisone/nystatin,mild topical corticosteroids/antibacterial preparations only used topically,topical,1.30E+17,19,13040200/13100101,,1,,,,,,,mild,,
13939,nystatin with hydrocortisone and chlorhexidine ointment,hydrocortisone/nystatin/chlorhexidine acetate,"mild topical corticosteroids/antifungal preparations (topical, for skin conditions)",topical,1.30E+17,318,13040200/13100200,,1,,,,,,,mild,,
