code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,Entity type,Category,Coding System (Read),medcode,desc
G1yz100,Rheumatic left ventricular failure,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,22262,Rheumatic left ventricular failure
G58..00,Heart failure,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,2062,Heart failure
G58..11,Cardiac failure,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,1223,Cardiac failure
G580.00,Congestive heart failure,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,398,Congestive heart failure
G580.11,Congestive cardiac failure,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,2906,Congestive cardiac failure
G580.12,Right heart failure,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,10079,Right heart failure
G580.13,Right ventricular failure,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,10154,Right ventricular failure
G580.14,Biventricular failure,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,9524,Biventricular failure
G580000,Acute congestive heart failure,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,23707,Acute congestive heart failure
G580100,Chronic congestive heart failure,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,32671,Chronic congestive heart failure
G580200,Decompensated cardiac failure,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,27884,Decompensated cardiac failure
G580300,Compensated cardiac failure,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,11424,Compensated cardiac failure
