readcode,medcode,readterm,Category
E112.00,10610,single major depressive episode,Core
E112.11,5879,agitated depression,Core
E112.12,6546,endogenous depression first episode,Core
E112.13,6950,endogenous depression first episode,Core
E112.14,595,endogenous depression,Core
E112000,34390,"single major depressive episode, unspecified",Core
E112100,16506,"single major depressive episode, mild",Core
E112200,15155,"single major depressive episode, moderate",Core
E112300,15219,"single major depressive episode, severe, without psychosis",Core
E112400,32159,"single major depressive episode, severe, with psychosis",Core
E112500,43324,"single major depressive episode, partial or unspec remission",Core
E112600,57409,"single major depressive episode, in full remission",Core
E112z00,7011,single major depressive episode nos,Core
E113.00,15099,recurrent major depressive episode,Core
E113.11,6932,endogenous depression - recurrent,Core
E113000,35671,"recurrent major depressive episodes, unspecified",Core
E113100,29342,"recurrent major depressive episodes, mild",Core
E113200,14709,"recurrent major depressive episodes, moderate",Core
E113300,25697,"recurrent major depressive episodes, severe, no psychosis",Core
E113400,24171,"recurrent major depressive episodes, severe, with psychosis",Core
E113700,6482,recurrent depression,Core
E113z00,25563,recurrent major depressive episode nos,Core
E118.00,10825,seasonal affective disorder,Core
E11y200,27491,atypical depressive disorder,Core
E11z200,9183,masked depression,Core
E130.00,8478,reactive depressive psychosis,Core
E130.11,17770,psychotic reactive depression,Core
E135.00,1055,agitated depression,Core
E200300,655,anxiety with depression,Core
E291.00,16632,prolonged depressive reaction,Core
E2B..00,324,depressive disorder nec,Core
E2B1.00,4323,chronic depression,Core
Eu32.00,4639,[x]depressive episode,Core
Eu32.11,9055,[x]single episode of depressive reaction,Core
Eu32.12,18510,[x]single episode of psychogenic depression,Core
Eu32.13,7604,[x]single episode of reactive depression,Core
Eu32000,11717,[x]mild depressive episode,Core
Eu32100,9211,[x]moderate depressive episode,Core
Eu32200,9667,[x]severe depressive episode without psychotic symptoms,Core
Eu32211,41989,[X]Single episode agitated depressn w'out psychotic symptoms,Core
Eu32212,22806,[x]single episode major depression w'out psychotic symptoms,Core
Eu32213,59386,[x]single episode vital depression w'out psychotic symptoms,Core
Eu32300,12099,[x]severe depressive episode with psychotic symptoms,Core
Eu32311,24117,[x]single episode of major depression and psychotic symptoms,Core
Eu32312,52678,[x]single episode of psychogenic depressive psychosis,Core
Eu32313,24112,[x]single episode of psychotic depression,Core
Eu32314,28863,[x]single episode of reactive depressive psychosis,Core
Eu32400,10667,[x]mild depression,Core
Eu32500,98346,"[x]major depression, mild",Core
Eu32600,98252,"[x]major depression, moderately severe",Core
Eu32700,98414,"[x]major depression, severe without psychotic symptoms",Core
Eu32800,98417,"[x]major depression, severe with psychotic symptoms",Core
Eu32900,101054,"[X]Single major depr ep, severe with psych, psych in remiss",Core
Eu32A00,101153,"[X]Recurr major depr ep, severe with psych, psych in remiss",Core
Eu32B00,103677,[x]antenatal depression,Core
Eu32y00,6854,[x]other depressive episodes,Core
Eu32y11,10720,[x]atypical depression,Core
Eu32y12,56609,[x]single episode of masked depression nos,Core
Eu32z00,2970,"[x]depressive episode, unspecified",Core
Eu32z11,543,[x]depression nos,Core
Eu32z12,3291,[x]depressive disorder nos,Core
Eu32z13,28248,[x]prolonged single episode of reactive depression,Core
Eu32z14,5987,[x] reactive depression nos,Core
Eu33.00,3292,[x]recurrent depressive disorder,Core
Eu33.11,8851,[x]recurrent episodes of depressive reaction,Core
Eu33.12,19696,[x]recurrent episodes of psychogenic depression,Core
Eu33.13,8902,[x]recurrent episodes of reactive depression,Core
Eu33.14,28756,[x]seasonal depressive disorder,Core
Eu33.15,8826,[x]sad - seasonal affective disorder,Core
Eu33000,29784,"[x]recurrent depressive disorder, current episode mild",Core
Eu33100,29520,"[x]recurrent depressive disorder, current episode moderate",Core
Eu33200,33469,[X]Recurr depress disorder cur epi severe without psyc sympt,Core
Eu33211,11329,[x]endogenous depression without psychotic symptoms,Core
Eu33212,11252,"[x]major depression, recurrent without psychotic symptoms",Core
Eu33214,73991,"[x]vital depression, recurrent without psychotic symptoms",Core
Eu33300,47009,[X]Recurrent depress disorder cur epi severe with psyc symp,Core
Eu33311,23731,[x]endogenous depression with psychotic symptoms,Core
Eu33313,32941,[x]recurr severe episodes/major depression+psychotic symptom,Core
Eu33314,31757,[x]recurr severe episodes/psychogenic depressive psychosis,Core
Eu33315,16861,[x]recurrent severe episodes of psychotic depression,Core
Eu33316,37764,[x]recurrent severe episodes/reactive depressive psychosis,Core
Eu33y00,47731,[x]other recurrent depressive disorders,Core
Eu33z00,44300,"[x]recurrent depressive disorder, unspecified",Core
Eu33z11,36616,[x]monopolar depression nos,Core
Eu34100,7953,[x]dysthymia,Core
Eu34111,8584,[x]depressive neurosis,Core
Eu34113,7737,[x]neurotic depression,Core
Eu34114,15220,[x]persistant anxiety depression,Core
Eu3y111,19054,[x]recurrent brief depressive episodes,Core
Eu41200,11913,[x]mixed anxiety and depressive disorder,Core
Eu41211,7749,[x]mild anxiety depression,Core
1465,2716,h/o: depression,History
146D.00,11548,h/o: manic depressive disorder,History
212S.00,19439,depression resolved,History
212V.00,85102,bipolar affective disorder resolved,History
E113500,56273,"recurrent major depressive episodes,partial/unspec remission",History
E113600,55384,"recurrent major depressive episodes, in full remission",History
Eu33400,22116,"[x]recurrent depressive disorder, currently in remission",History
13Y3.00,56260,manic-depression association member,Not Depression - alternative diagnosis
1S42.00,22713,manic mood,Not Depression - alternative diagnosis
212T.00,19345,"psychosis, schizophrenia + bipolar affective disord resolved",Not Depression - alternative diagnosis
E001300,27677,presenile dementia with depression,Not Depression - alternative diagnosis
E002.00,44674,senile dementia with depressive or paranoid features,Not Depression - alternative diagnosis
E002100,21887,senile dementia with depression,Not Depression - alternative diagnosis
E002z00,41089,senile dementia with depressive or paranoid features nos,Not Depression - alternative diagnosis
E004300,43292,arteriosclerotic dementia with depression,Not Depression - alternative diagnosis
E03y200,24510,organic affective syndrome,Not Depression - alternative diagnosis
E107.00,2117,schizo-affective schizophrenia,Not Depression - alternative diagnosis
E107000,58862,unspecified schizo-affective schizophrenia,Not Depression - alternative diagnosis
E107100,61098,subchronic schizo-affective schizophrenia,Not Depression - alternative diagnosis
E107200,43800,chronic schizo-affective schizophrenia,Not Depression - alternative diagnosis
E107300,58866,acute exacerbation subchronic schizo-affective schizophrenia,Not Depression - alternative diagnosis
E107400,63478,acute exacerbation of chronic schizo-affective schizophrenia,Not Depression - alternative diagnosis
E107500,56438,schizo-affective schizophrenia in remission,Not Depression - alternative diagnosis
E107z00,10575,schizo-affective schizophrenia nos,Not Depression - alternative diagnosis
E11..00,14656,affective psychoses,Not Depression - alternative diagnosis
E11..12,2560,depressive psychoses,Not Depression - alternative diagnosis
E114.00,3702,"bipolar affective disorder, currently manic",Not Depression - alternative diagnosis
E114.11,17385,manic-depressive - now manic,Not Depression - alternative diagnosis
E114000,35738,"bipolar affective disorder, currently manic, unspecified",Not Depression - alternative diagnosis
E114100,36126,"bipolar affective disorder, currently manic, mild",Not Depression - alternative diagnosis
E114200,46434,"bipolar affective disorder, currently manic, moderate",Not Depression - alternative diagnosis
E114600,63784,"bipolar affective disorder, currently manic, full remission",Not Depression - alternative diagnosis
E114z00,57605,"bipolar affective disorder, currently manic, nos",Not Depression - alternative diagnosis
E115.00,4677,"bipolar affective disorder, currently depressed",Not Depression - alternative diagnosis
E115.11,12831,manic-depressive - now depressed,Not Depression - alternative diagnosis
E115000,15923,"bipolar affective disorder, currently depressed, unspecified",Not Depression - alternative diagnosis
E115100,35734,"bipolar affective disorder, currently depressed, mild",Not Depression - alternative diagnosis
E115200,27890,"bipolar affective disorder, currently depressed, moderate",Not Depression - alternative diagnosis
E115300,35607,"Bipolar affect disord, now depressed, severe, no psychosis",Not Depression - alternative diagnosis
E115400,63701,"Bipolar affect disord, now depressed, severe with psychosis",Not Depression - alternative diagnosis
E115500,72026,"Bipolar affect disord, now depressed, part/unspec remission",Not Depression - alternative diagnosis
E115600,57465,"bipolar affective disorder, now depressed, in full remission",Not Depression - alternative diagnosis
E115z00,37296,"bipolar affective disorder, currently depressed, nos",Not Depression - alternative diagnosis
E116.00,31316,mixed bipolar affective disorder,Not Depression - alternative diagnosis
E116000,31535,"mixed bipolar affective disorder, unspecified",Not Depression - alternative diagnosis
E116100,24689,"mixed bipolar affective disorder, mild",Not Depression - alternative diagnosis
E116200,63150,"mixed bipolar affective disorder, moderate",Not Depression - alternative diagnosis
E116300,63284,"mixed bipolar affective disorder, severe, without psychosis",Not Depression - alternative diagnosis
E116400,54195,"mixed bipolar affective disorder, severe, with psychosis",Not Depression - alternative diagnosis
E116500,63651,"mixed bipolar affective disorder, partial/unspec remission",Not Depression - alternative diagnosis
E116600,55064,"mixed bipolar affective disorder, in full remission",Not Depression - alternative diagnosis
E116z00,63583,"mixed bipolar affective disorder, nos",Not Depression - alternative diagnosis
E117.00,14784,unspecified bipolar affective disorder,Not Depression - alternative diagnosis
E117000,49763,"unspecified bipolar affective disorder, unspecified",Not Depression - alternative diagnosis
E117100,63698,"unspecified bipolar affective disorder, mild",Not Depression - alternative diagnosis
E117200,68647,"unspecified bipolar affective disorder, moderate",Not Depression - alternative diagnosis
E117300,73423,"unspecified bipolar affective disorder, severe, no psychosis",Not Depression - alternative diagnosis
E117400,68326,"unspecified bipolar affective disorder,severe with psychosis",Not Depression - alternative diagnosis
E117600,24230,"unspecified bipolar affective disorder, in full remission",Not Depression - alternative diagnosis
E117z00,27986,"unspecified bipolar affective disorder, nos",Not Depression - alternative diagnosis
E11y.00,60178,other and unspecified manic-depressive psychoses,Not Depression - alternative diagnosis
E11y000,11596,unspecified manic-depressive psychoses,Not Depression - alternative diagnosis
E11y300,70399,other mixed manic-depressive psychoses,Not Depression - alternative diagnosis
E11yz00,33426,other and unspecified manic-depressive psychoses nos,Not Depression - alternative diagnosis
E11z.00,41992,other and unspecified affective psychoses,Not Depression - alternative diagnosis
E11z000,54607,unspecified affective psychoses nos,Not Depression - alternative diagnosis
E11z100,3489,rebound mood swings,Not Depression - alternative diagnosis
E11zz00,33425,other affective psychosis nos,Not Depression - alternative diagnosis
E211.00,14979,affective personality disorder,Not Depression - alternative diagnosis
E211000,16178,unspecified affective personality disorder,Not Depression - alternative diagnosis
E211200,10455,unspecified affective personality disorder,Not Depression - alternative diagnosis
E211300,12707,Cyclothymic personality disorder,Not Depression - alternative diagnosis
E211z00,51497,affective personality disorder nos,Not Depression - alternative diagnosis
Eu02z16,27759,"[X] Senile dementia, depressed or paranoid type",Not Depression - alternative diagnosis
Eu05300,24000,[x]organic mood [affective] disorders,Not Depression - alternative diagnosis
Eu06y11,45419,[x]right hemispheric organic affective disorder,Not Depression - alternative diagnosis
Eu20400,20785,[x]post-schizophrenic depression,Not Depression - alternative diagnosis
Eu25.00,9422,[x]schizoaffective disorders,Not Depression - alternative diagnosis
Eu25000,33847,"[x]schizoaffective disorder, manic type",Not Depression - alternative diagnosis
Eu25011,16905,"[x]schizoaffective psychosis, manic type",Not Depression - alternative diagnosis
Eu25100,11055,"[x]schizoaffective disorder, depressive type",Not Depression - alternative diagnosis
Eu25111,35274,"[x]schizoaffective psychosis, depressive type",Not Depression - alternative diagnosis
Eu25112,41022,"[x]schizophreniform psychosis, depressive type",Not Depression - alternative diagnosis
Eu25200,33693,"[x]schizoaffective disorder, mixed type",Not Depression - alternative diagnosis
Eu25212,37580,[x]mixed schizophrenic and affective psychosis,Not Depression - alternative diagnosis
Eu25y00,58532,[x]other schizoaffective disorders,Not Depression - alternative diagnosis
Eu25z00,37681,"[x]schizoaffective disorder, unspecified",Not Depression - alternative diagnosis
Eu25z11,33410,[x]schizoaffective psychosis nos,Not Depression - alternative diagnosis
Eu3..00,5726,[x]mood - affective disorders,Not Depression - alternative diagnosis
Eu30211,37102,[x]mania with mood-congruent psychotic symptoms,Not Depression - alternative diagnosis
Eu30212,48632,[x]mania with mood-incongruent psychotic symptoms,Not Depression - alternative diagnosis
Eu31.00,6874,[x]bipolar affective disorder,Not Depression - alternative diagnosis
Eu31.11,1531,[x]manic-depressive illness,Not Depression - alternative diagnosis
Eu31.12,6710,[x]manic-depressive psychosis,Not Depression - alternative diagnosis
Eu31.13,66153,[x]manic-depressive reaction,Not Depression - alternative diagnosis
