phenotype_name,medcode,ReadcodeDescr,Readcode
Anorectal fistula,15202,Rectal fistula,J531300
Anorectal fistula,15210,Anal fissure and fistula NOS,J53z.00
Anorectal fistula,18188,Fistulography of anal fistula,7738400.0
Anorectal fistula,18201,Anal fistula operations,7738.11
Anorectal fistula,19419,Insertion seton in high anal fistula+part lay open track HFQ,7738300.0
Anorectal fistula,1979,Anal fissure and fistula,J53..00
Anorectal fistula,19952,Ano-rectal fistula,J531200
Anorectal fistula,20885,Closure of rectal fistula,7729700.0
Anorectal fistula,20959,Laying open of high anal fistula,7738100.0
Anorectal fistula,2406,Laying open of anal fistula NEC,7738200.0
Anorectal fistula,37729,Fistula-in-ano NOS,J531z00
Anorectal fistula,4791,Excision of anal fistula,7738611.0
Anorectal fistula,4994,Laying open of low anal fistula,7738000.0
Anorectal fistula,56271,Sub-mucosal anal fistula,J531000
Anorectal fistula,59127,Inter-muscular anal fistula,J531100
Anorectal fistula,598,Fistula-in-ano,J531.00
Anorectal fistula,7140,Excision of fistula in ano,7738600.0
Anorectal fistula,97573,Repair of anal fistula using plug,7738900.0
