readcode,medcode,readterm,icdcode,ca_lung,ca_breast,ca_prostate,ca_pancreas,ca_melanoma,ca_non_melanoma,ca_mm,ca_leukaemia,ca_meningioma,ca_glioma,ca_CNSother,ca_cns,ca_nhl,ca_hodgkins,ca_lymphomaNonCut
B34..00,3968,malignant neoplasm of female breast,C50,,1,,,,,,,,,,,,,
B34..11,348,ca female breast,C50,,1,,,,,,,,,,,,,
B340.00,26853,malignant neoplasm of nipple and areola of female breast,C50,,1,,,,,,,,,,,,,
B340000,23380,malignant neoplasm of nipple of female breast,C50,,1,,,,,,,,,,,,,
B340100,64686,malignant neoplasm of areola of female breast,C50,,1,,,,,,,,,,,,,
B340z00,59831,malignant neoplasm of nipple or areola of female breast nos,C50,,1,,,,,,,,,,,,,
B341.00,31546,malignant neoplasm of central part of female breast,C50,,1,,,,,,,,,,,,,
B342.00,29826,malignant neoplasm of upper-inner quadrant of female breast,C50,,1,,,,,,,,,,,,,
B343.00,45222,malignant neoplasm of lower-inner quadrant of female breast,C50,,1,,,,,,,,,,,,,
B344.00,23399,malignant neoplasm of upper-outer quadrant of female breast,C50,,1,,,,,,,,,,,,,
B345.00,42070,malignant neoplasm of lower-outer quadrant of female breast,C50,,1,,,,,,,,,,,,,
B346.00,20685,malignant neoplasm of axillary tail of female breast,C50,,1,,,,,,,,,,,,,
B347.00,49148,"malignant neoplasm, overlapping lesion of breast",C50,,1,,,,,,,,,,,,,
B34y.00,56715,malignant neoplasm of other site of female breast,C50,,1,,,,,,,,,,,,,
B34y000,95057,malignant neoplasm of ectopic site of female breast,C50,,1,,,,,,,,,,,,,
B34yz00,38475,malignant neoplasm of other site of female breast nos,C50,,1,,,,,,,,,,,,,
B34z.00,9470,malignant neoplasm of female breast nos,C50,,1,,,,,,,,,,,,,
B35..00,19423,malignant neoplasm of male breast,C50,,1,,,,,,,,,,,,,
B350.00,54494,malignant neoplasm of nipple and areola of male breast,C50,,1,,,,,,,,,,,,,
B350000,68480,malignant neoplasm of nipple of male breast,C50,,1,,,,,,,,,,,,,
B350100,67884,malignant neoplasm of areola of male breast,C50,,1,,,,,,,,,,,,,
B35z.00,54202,malignant neoplasm of other site of male breast,C50,,1,,,,,,,,,,,,,
B35z000,95323,malignant neoplasm of ectopic site of male breast,C50,,1,,,,,,,,,,,,,
B35zz00,48809,malignant neoplasm of male breast nos,C50,,1,,,,,,,,,,,,,
B36..00,105488,local recurrence of malignant tumour of breast,C50,,1,,,,,,,,,,,,,
BB91.00,8351,[m]infiltrating duct carcinoma,C50,,1,,,,,,,,,,,,,
BB91000,30189,[m]intraductal papillary adenocarcinoma with invasion,C50,,1,,,,,,,,,,,,,
BB91100,39760,[m]infiltrating duct and lobular carcinoma,C50,,1,,,,,,,,,,,,,
BB93.00,58131,[m]comedocarcinoma nos,C50,,1,,,,,,,,,,,,,
BB94.00,40359,[m]juvenile breast carcinoma,C50,,1,,,,,,,,,,,,,
BB94.11,67701,[m]secretory breast carcinoma,C50,,1,,,,,,,,,,,,,
BB9D.00,98883,[m]medullary carcinoma with lymphoid stroma,C50,,1,,,,,,,,,,,,,
BB9F.00,12427,[m]lobular carcinoma nos,C50,,1,,,,,,,,,,,,,
BB9G.00,7319,[m]infiltrating ductular carcinoma,C50,,1,,,,,,,,,,,,,
BB9H.00,32472,[m]inflammatory carcinoma,C50,,1,,,,,,,,,,,,,
BB9J.00,12300,"[m]paget's disease, mammary",C50,,1,,,,,,,,,,,,,
BB9J.11,60803,"[m]paget's disease, breast",C50,,1,,,,,,,,,,,,,
BB9K.00,42542,[m]paget's disease and infiltrating breast duct carcinoma,C50,,1,,,,,,,,,,,,,
BB9K000,12480,[m]paget's disease and intraductal carcinoma of breast,C50,,1,,,,,,,,,,,,,
BBM9.00,59251,"[m]cystosarcoma phyllodes, malignant",C50,,1,,,,,,,,,,,,,
Byu6.00,12499,[x]malignant neoplasm of breast,C50,,1,,,,,,,,,,,,,
