phenotype_name,medcode,ReadcodeDescr,Readcode
Diaphragmatic hernia,110120,Retrosternal hernia,J34..13
Diaphragmatic hernia,1178,Repair of hiatus hernia,760K.12
Diaphragmatic hernia,12086,Sliding hiatus hernia,J348.00
Diaphragmatic hernia,18664,Repair of oesophageal hiatus hernia,760K.11
Diaphragmatic hernia,22845,Laparoscopic repair of hiatus hernia,760K500
Diaphragmatic hernia,24703,Diaphragmatic hernia with gangrene,J340.00
Diaphragmatic hernia,256,Hiatus hernia,J34..11
Diaphragmatic hernia,30980,Repair of diaphragmatic hernia using abdominal approach NEC,760K300
Diaphragmatic hernia,31732,Parasternal hernia,J34..12
Diaphragmatic hernia,33779,Simple hiatus hernia,J347.00
Diaphragmatic hernia,34691,Simple diaphragmatic hernia,J343.00
Diaphragmatic hernia,37471,Repair of diaphragmatic hernia NOS,760Kz00
Diaphragmatic hernia,44233,Diaphragmatic hernia with obstruction,J341.00
Diaphragmatic hernia,47416,Allison repair of oesophageal hiatus hernia,760K011
Diaphragmatic hernia,48153,Hiatus hernia - irreducible,J346.00
Diaphragmatic hernia,4987,Diaphragmatic hernia,J34..00
Diaphragmatic hernia,60094,Other specified repair of diaphragmatic hernia,760Ky00
Diaphragmatic hernia,60697,Diaphragmatic hernia - irreducible,J342.00
Diaphragmatic hernia,61616,Hill repair of hiatus hernia and gastropexy,760L312
Diaphragmatic hernia,62920,Unspecified diaphragmatic hernia,J34y.00
Diaphragmatic hernia,63180,Hiatus hernia with obstruction,J345.00
Diaphragmatic hernia,63539,Repair of diaphragmatic hernia using thoracic approach NEC,760K100
Diaphragmatic hernia,68880,Hiatus hernia with gangrene,J344.00
Diaphragmatic hernia,72571,Boerema repair of hiatus hernia,760K400
Diaphragmatic hernia,8270,Repair of diaphragmatic hernia,760K.00
Diaphragmatic hernia,94728,Mason repair of oesophageal hiatus hernia,760K012
