readcode,medcode,readterm,icdcode,ca_lung,ca_breast,ca_prostate,ca_pancreas,ca_melanoma,ca_non_melanoma,ca_mm,ca_leukaemia,ca_meningioma,ca_glioma,ca_CNSother,ca_cns,ca_nhl,ca_hodgkins,ca_lymphomaNonCut
4M71.00,104609,clark melanoma level 2,C43,,,,,1,,,,,,,,,,
4M73.00,102116,clark melanoma level 4,C43,,,,,1,,,,,,,,,,
4M74.00,108866,clark melanoma level 5,C43,,,,,1,,,,,,,,,,
B32..00,865,malignant melanoma of skin,C43,,,,,1,,,,,,,,,,
B320.00,70637,malignant melanoma of lip,C43,,,,,1,,,,,,,,,,
B321.00,54632,malignant melanoma of eyelid including canthus,C43,,,,,1,,,,,,,,,,
B322.00,57260,malignant melanoma of ear and external auricular canal,C43,,,,,1,,,,,,,,,,
B322000,59061,malignant melanoma of auricle (ear),C43,,,,,1,,,,,,,,,,
B322100,102145,malignant melanoma of external auditory meatus,C43,,,,,1,,,,,,,,,,
B322z00,73744,malignant melanoma of ear and external auricular canal nos,C43,,,,,1,,,,,,,,,,
B323.00,47252,malignant melanoma of other and unspecified parts of face,C43,,,,,1,,,,,,,,,,
B323000,41278,malignant melanoma of external surface of cheek,C43,,,,,1,,,,,,,,,,
B323100,71136,malignant melanoma of chin,C43,,,,,1,,,,,,,,,,
B323200,47094,malignant melanoma of eyebrow,C43,,,,,1,,,,,,,,,,
B323300,68133,malignant melanoma of forehead,C43,,,,,1,,,,,,,,,,
B323400,45139,malignant melanoma of external surface of nose,C43,,,,,1,,,,,,,,,,
B323500,58958,malignant melanoma of temple,C43,,,,,1,,,,,,,,,,
B323z00,67806,malignant melanoma of face nos,C43,,,,,1,,,,,,,,,,
B324.00,65625,malignant melanoma of scalp and neck,C43,,,,,1,,,,,,,,,,
B324000,55881,malignant melanoma of scalp,C43,,,,,1,,,,,,,,,,
B324100,45306,malignant melanoma of neck,C43,,,,,1,,,,,,,,,,
B324z00,99257,malignant melanoma of scalp and neck nos,C43,,,,,1,,,,,,,,,,
B325.00,38689,malignant melanoma of trunk (excluding scrotum),C43,,,,,1,,,,,,,,,,
B325000,49814,malignant melanoma of axilla,C43,,,,,1,,,,,,,,,,
B325100,32768,malignant melanoma of breast,C43,,,,,1,,,,,,,,,,
B325200,53629,malignant melanoma of buttock,C43,,,,,1,,,,,,,,,,
B325300,34259,malignant melanoma of groin,C43,,,,,1,,,,,,,,,,
B325400,109002,malignant melanoma of perianal skin,C43,,,,,1,,,,,,,,,,
